,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
0,2001-01-31,mallorquin,0.0,5239.0,0.5199669514136877,28.034192122587054,85.54964539007092,1.6,Nina
1,2001-02-28,mallorquin,0.0,2960.0,0.4601809027764442,28.905898511500016,0.0,2.8,Nina
2,2001-03-31,mallorquin,0.0,3288.0,0.3997534269161012,30.600624113848,89.8936170212766,1.5,Nina
3,2001-04-30,mallorquin,0.0,3761.0,0.2413248977760085,19.57551669197399,11.199763593380615,0.3,Neutral
4,2001-05-31,mallorquin,82.0348393287129,4556.0,0.38484876715449495,23.960525086704454,0.0,-0.8,Neutral
5,2001-06-30,mallorquin,0.9000000000000057,5872.0,0.35214307556860686,25.770739453237425,0.0,0.5,Neutral
6,2001-07-31,mallorquin,10.899999999999999,4890.0,0.3849072897160962,28.82272588831194,0.0,-0.3,Neutral
7,2001-08-31,mallorquin,126.30000000000001,4293.0,0.3685701388355237,31.77054882593303,50.797872340425535,-0.7,Neutral
8,2001-09-30,mallorquin,120.20000000000002,4589.0,0.518067533942211,33.913692397142874,47.78368794326241,0.3,Neutral
9,2001-10-31,mallorquin,217.7,6229.0,0.5291069865223523,33.15699022525213,0.0,-0.1,Neutral
10,2001-11-30,mallorquin,175.1,7734.0,0.6835822139510261,32.72415525917116,86.37706855791963,1.1,Neutral
11,2001-12-31,mallorquin,4.0,8537.0,0.6877049183533112,33.258117999338666,0.0,-1.4,Neutral
12,2002-01-31,mallorquin,0.0,6717.0,0.5818480874217364,32.829829489665855,75.79787234042553,0.7,Neutral
13,2002-02-28,mallorquin,0.0,3326.0,0.5301406175410892,32.44151871525439,0.0,1.8,Neutral
14,2002-03-31,mallorquin,0.7000000000000028,2893.0,0.4942537304070654,32.48734497643619,90.54373522458629,-0.4,Neutral
15,2002-04-30,mallorquin,0.0,4518.0,0.49168382567469665,32.435475798319814,0.0,-0.1,Neutral
16,2002-05-31,mallorquin,58.0,5955.0,0.5828040285231149,34.17129818973226,0.0,-1.4,Nino
17,2002-06-30,mallorquin,94.8,7583.0,0.5886460889560086,34.9672952457447,93.52836879432624,-0.4,Nino
18,2002-07-31,mallorquin,51.1,6751.0,0.5849140512538217,38.97687713861704,92.6418439716312,-0.8,Nino
19,2002-08-31,mallorquin,30.0,4440.0,0.5839949424448746,38.72000385148618,0.0,-1.6,Nino
20,2002-09-30,mallorquin,210.4,4585.0,0.6484240083730928,37.49871752721516,0.0,-1.0,Nino
21,2002-10-31,mallorquin,25.9,5094.0,0.59525266857174,37.12847410771153,56.50118203309693,-0.6,Nino
22,2002-11-30,mallorquin,6.5,7592.0,0.6335245047475488,33.759760097858226,56.885342789598106,-0.7,Nino
23,2002-12-31,mallorquin,0.5,6225.0,0.5821563853042395,32.113311277699935,0.0,-1.8,Nino
24,2003-01-31,mallorquin,0.0,3527.0,0.4086548437625958,28.630319053831794,27.955082742316783,-0.3,Nino
25,2003-02-28,mallorquin,0.0,2566.0,0.3672070471898135,29.334766454618137,91.40070921985816,-1.1,Nino
26,2003-03-31,mallorquin,0.0,2684.0,0.3433270180710618,30.37167796603725,91.51891252955082,-0.5,Nino
27,2003-04-30,mallorquin,10.399999999999999,3815.0,0.31881720054875146,23.759670278290972,92.49408983451536,-0.2,Neutral
28,2003-05-31,mallorquin,60.5,5959.0,0.3766692723681814,25.569165196348834,0.0,-0.5,Neutral
29,2003-06-30,mallorquin,167.3,7152.0,0.3881664847574642,26.55119315305513,0.0,-1.0,Neutral
30,2003-07-31,mallorquin,45.3,7712.0,0.43712900288175593,27.810880178893928,0.0,0.5,Neutral
31,2003-08-31,mallorquin,47.2,6910.0,0.45573317422226217,29.29640940446517,0.0,0.2,Neutral
32,2003-09-30,mallorquin,95.8,6140.0,0.5240680783322141,29.628265311470532,0.0,-0.2,Neutral
33,2003-10-31,mallorquin,241.39999999999998,7897.0,0.48683075014295746,31.921533562073318,0.0,0.0,Neutral
34,2003-11-30,mallorquin,224.2999881707966,10016.0,0.563359813600768,33.06444041277502,44.148936170212764,-0.5,Neutral
35,2003-12-31,mallorquin,140.5,11146.0,0.7072135847928224,33.27845738024155,81.47163120567376,1.8,Neutral
36,2004-01-31,mallorquin,0.0,8355.0,0.6523797432286637,30.881895838677707,74.17257683215131,-2.2,Neutral
37,2004-02-29,mallorquin,0.0,3724.0,0.5597260014843283,30.890527267657042,78.98936170212765,2.0,Neutral
38,2004-03-31,mallorquin,0.0,2916.0,0.46495167532053755,30.929829319441513,93.17375886524822,0.7,Neutral
39,2004-04-30,mallorquin,48.2,3609.0,0.5304073726371913,34.9379979558634,92.87825059101655,-1.5,Neutral
40,2004-05-31,mallorquin,100.9,6011.0,0.5526202162232206,33.42136328258036,87.5,1.7,Neutral
41,2004-06-30,mallorquin,23.0,7558.0,0.6090561576191288,34.40968229697541,0.0,-1.4,Nino
42,2004-07-31,mallorquin,147.0,6195.0,0.6768387543531305,36.613683707177266,77.27541371158392,-0.8,Nino
43,2004-08-31,mallorquin,92.1,5941.0,0.5014437761855697,15.777984913050213,15.218676122931443,-0.5,Nino
44,2004-09-30,mallorquin,99.0,6271.0,0.6205594292755985,21.454759346558763,86.70212765957447,-0.6,Nino
45,2004-10-31,mallorquin,107.65387048722883,8047.0,0.6646514455983562,33.01586196475238,71.36524822695036,-0.1,Nino
46,2004-11-30,mallorquin,75.8381003525192,10161.0,0.14901847029031978,22.332627967608715,1.773049645390071,-1.1,Nino
