,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
2,2001-03-31,mallorquin,-71.25117810875027,-2061.188034188034,-0.0013732518378742,3.811929166173545,89.8936170212766,1.5,Nina
3,2001-04-30,mallorquin,-70.25449969368243,-1780.897970085471,-0.1728376692165237,-7.8146678934103875,11.199763593380617,0.3,Neutral
4,2001-05-31,mallorquin,-69.25782127861459,-1355.6079059829062,-0.1352641575156012,-5.061064739252828,0.0,-0.8,Neutral
5,2001-06-30,mallorquin,-68.26114286354675,-608.3178418803427,-0.1122500606629198,-2.791973940803992,0.0,0.5,Neutral
6,2001-07-31,mallorquin,5.44002273100827,659.9722222222217,-0.0979815747341258,-0.8180819177552188,0.0,-0.3,Neutral
7,2001-08-31,mallorquin,-65.36778603341106,-333.91666666666697,-0.0919085799688077,2.0813435044887427,50.797872340425535,-0.7,Neutral
8,2001-09-30,mallorquin,-49.750373931623926,-1007.75,0.0503933558361932,4.006657909972677,47.78368794326241,0.3,Neutral
9,2001-10-31,mallorquin,65.64962606837608,-710.541666666667,0.1144774226835049,2.55592341609961,0.0,-0.1,Neutral
10,2001-11-30,mallorquin,59.52045940170941,914.375,0.1800919851222916,1.141541110553554,86.37706855791963,1.1,Neutral
11,2001-12-31,mallorquin,156.99129273504275,2329.541666666668,0.1392052321239795,1.076498022910883,0.0,-1.4,Neutral
12,2002-01-31,mallorquin,115.0039797008547,3002.958333333334,0.0364054189248362,-0.423987939752763,75.79787234042553,0.7,Neutral
13,2002-02-28,mallorquin,-59.395833333333336,1034.125,-0.0291860657063668,-1.330657330992878,0.0,1.8,Neutral
14,2002-03-31,mallorquin,-68.98333333333332,-2440.541666666666,-0.0805666227429911,-1.9667946718502665,90.54373522458629,-0.4,Neutral
15,2002-04-30,mallorquin,-66.64583333333334,-2879.5,-0.0825973023883616,-1.7392383163719884,0.0,-0.1,Neutral
16,2002-05-31,mallorquin,-65.69166666666665,-1207.041666666666,-0.0264630770476731,-0.7607582551558068,0.0,-1.4,Nino
17,2002-06-30,mallorquin,-62.15833333333333,283.1666666666679,0.0197038083637363,-0.0331883276517075,93.52836879432624,-0.4,Nino
18,2002-07-31,mallorquin,10.85833333333334,2013.416666666667,0.0278392173319846,4.2172878666542815,92.6418439716312,-0.8,Nino
19,2002-08-31,mallorquin,54.829166666666666,1410.666666666667,0.0273248024937985,4.218366393020581,0.0,-1.6,Nino
20,2002-09-30,mallorquin,11.275000000000013,-735.75,0.0619097462810486,4.267137026359372,0.0,-1.0,Nino
21,2002-10-31,mallorquin,-9.824999999999989,-550.3749999999991,0.0792353712847975,3.3841378369398853,56.50118203309693,-0.6,Nino
22,2002-11-30,mallorquin,170.60416666666669,-3.375,0.1323459580185561,0.767232979018516,56.885342789598106,-0.7,Nino
23,2002-12-31,mallorquin,-14.29999999999999,2523.749999999999,0.0665871188505727,-0.3581078465515546,0.0,-1.8,Nino
24,2003-01-31,mallorquin,-34.2375,1174.541666666667,-0.0635095439623941,-2.860966666405776,27.955082742316783,-0.3,Nino
25,2003-02-28,mallorquin,-43.3625,-1545.541666666666,-0.0935221681101332,-1.321257047925947,91.40070921985816,-1.1,Nino
26,2003-03-31,mallorquin,-46.641666666666666,-2649.5,-0.1081891566063805,0.3869065151776105,91.51891252955082,-0.5,Nino
27,2003-04-30,mallorquin,-47.11666666666667,-2699.208333333333,-0.1257080653087256,-5.717859286893283,92.49408983451536,-0.2,Neutral
28,2003-05-31,mallorquin,-43.05833333333333,-1749.791666666667,-0.0691665245059989,-3.703367586707071,0.0,-0.5,Neutral
29,2003-06-30,mallorquin,-36.8625,176.41666666666697,-0.0365644292038024,-2.4421406132115564,0.0,-1.0,Neutral
30,2003-07-31,mallorquin,-4.817881944444437,1063.375,-0.0244145179947975,-1.4433819651793698,0.0,0.5,Neutral
31,2003-08-31,mallorquin,87.07256944444445,1217.166666666667,-0.0306133325401552,0.054247264003898,0.0,0.2,Neutral
32,2003-09-30,mallorquin,-40.76076388888889,165.75,0.0043024937707457,1.7569548025295203,0.0,-0.2,Neutral
33,2003-10-31,mallorquin,-38.86076388888888,-662.1666666666661,0.0207707486044198,1.8768422804365592,0.0,0.0,Neutral
34,2003-11-30,mallorquin,9.739236111111111,1093.750000000001,0.0429895462737435,2.121186924360611,44.14893617021277,-0.5,Neutral
35,2003-12-31,mallorquin,153.76423611111113,3219.166666666668,0.1703463520824294,1.6620708032044789,81.47163120567376,1.8,Neutral
36,2004-01-31,mallorquin,133.43506944444448,4330.083333333333,0.096542435222978,-1.4390914443967162,74.17257683215131,-2.2,Neutral
37,2004-02-29,mallorquin,53.93506944444445,1585.375000000001,-0.0085107288200197,-1.213629234750055,78.98936170212765,2.0,Neutral
38,2004-03-31,mallorquin,-84.78993055555556,-2942.041666666666,-0.110840207231191,-0.1822472411104243,93.17375886524822,0.7,Neutral
39,2004-04-30,mallorquin,-90.89826388888888,-3715.125,-0.0564750921576732,4.199743737081466,92.87825059101657,-1.5,Neutral
40,2004-05-31,mallorquin,-92.90243055555555,-3033.833333333333,-0.043871710550019,2.9959251913514464,87.5,1.7,Neutral
41,2004-06-30,mallorquin,-39.17902504722973,-644.1249999999991,0.0216051338492251,5.674007762742065,0.0,-1.4,Nino
42,2004-07-31,mallorquin,24.91007502475631,898.5000000000009,0.0835130988675206,7.816873581256832,77.27541371158392,-0.8,Nino
43,2004-08-31,mallorquin,-41.44958012592228,-409.66666666666606,-0.0924951971640269,-13.069107089859756,15.218676122931443,-0.5,Nino
