time,NDVI,Temperature,NDVI_interpolated,Temperature_interpolated
1996-06-30,0.46020000951650647,9.964317229229968,0.46020000951650647,9.96431722922997
1996-07-31,0.5783661156759997,30.004001051989437,0.5783661156759997,30.004001051989437
1996-08-31,0.5753338700930363,35.33471985648195,0.5753338700930363,35.33471985648195
1996-09-30,0.5736984178002317,32.68445577851978,0.5736984178002317,32.68445577851978
1996-10-31,0.6044997410797062,31.14126151439202,0.6044997410797062,31.14126151439202
1996-11-30,,,0.5922166312216982,33.20742544916459
1996-12-31,,,0.5931884229288144,35.131847559089415
1997-01-31,,,0.5530132603876348,39.17549890324452
1997-02-28,,,0.47113591733271787,39.968003252282266
1997-03-31,,,0.3913022389113954,39.22897511609892
1997-04-30,,,0.378781599536759,37.51544967635208
1997-05-31,0.42892039343392246,38.14335399782555,0.42892039343392246,38.14335399782555
1997-06-30,0.3999372697945828,39.54041506880039,0.3999372697945828,39.54041506880039
1997-07-31,0.5235568250270548,40.40074679373507,0.5235568250270548,40.40074679373507
1997-08-31,0.5088459861975491,36.62797781255201,0.5088459861975491,36.62797781255201
1997-09-30,0.41475008998975604,25.62246115341695,0.41475008998975604,25.62246115341695
1997-10-31,0.53520076172354,33.876364117693264,0.53520076172354,33.876364117693264
1997-11-30,,,0.5375062608990864,35.20327799941511
1997-12-31,,,0.543667226159023,33.57417837917305
1998-01-31,0.47728938428400863,32.534570801498624,0.47728938428400863,32.534570801498624
1998-02-28,0.34985746354441266,33.91594393200462,0.34985746354441266,33.91594393200462
1998-03-31,0.36158063358610876,34.63933584696749,0.36158063358610876,34.63933584696749
1998-04-30,,,0.3842381228451113,36.98340271046526
1998-05-31,0.4747187547696929,39.89032443374643,0.4747187547696929,39.89032443374643
1998-06-30,0.38546898929100687,11.940155666206914,0.38546898929100687,11.940155666206916
1998-07-31,0.32864729437921064,27.241796345000022,0.32864729437921064,27.241796345000022
1998-08-31,,,0.4035738371990817,26.01010948886639
1998-09-30,0.5431440431386427,27.068748268108873,0.5431440431386427,27.068748268108873
1998-10-31,0.5731965762947284,33.869861683697664,0.5731965762947284,33.869861683697664
1998-11-30,0.6148060931757395,30.447797639890926,0.6148060931757395,30.447797639890926
1998-12-31,0.5840116695033714,30.176663283723755,0.5840116695033714,30.176663283723755
1999-01-31,,,0.5395812987852973,32.84573573093004
1999-02-28,,,0.46604326757658515,32.59890325704304
1999-03-31,,,0.39404780096424585,32.417268492049885
1999-04-30,,,0.37364466838685373,31.04817711016194
1999-05-31,,,0.40923461148037593,26.57636509749046
1999-06-30,,,0.4460816306180455,22.90677739123744
1999-07-31,0.47450222210403853,27.149459875158822,0.47450222210403853,27.149459875158822
1999-08-31,0.37935312305455327,24.05187916614563,0.37935312305455327,24.05187916614563
1999-09-30,0.49275440378103047,19.913374172634498,0.49275440378103047,19.913374172634498
1999-10-31,,,0.47534237326705797,9.597181325901786
1999-11-30,0.42962109429369166,4.54908019385002,0.42962109429369166,4.5490801938500205
1999-12-31,0.659849113083612,33.41313218367591,0.659849113083612,33.41313218367591
2000-01-31,0.5652903176406028,35.15265711852727,0.5652903176406028,35.15265711852727
2000-02-29,0.47609679698047314,32.458460515001434,0.47609679698047314,32.458460515001434
2000-03-31,0.38887455856170494,39.28609473708777,0.38887455856170494,39.28609473708777
2000-04-30,,,0.37520302452794085,35.116147293869915
2000-05-31,0.44253381909229966,33.18817650999423,0.44253381909229966,33.18817650999423
2000-06-30,,,0.5036757870320914,29.608303113679113
2000-07-31,0.5407512921089869,30.94447090743998,0.5407512921089869,30.94447090743998
2000-08-31,0.5943775991913133,31.786991726616957,0.5943775991913133,31.786991726616957
2000-09-30,0.5471846065363162,29.004164597829373,0.5471846065363162,29.004164597829373
2000-10-31,0.5772949412069612,23.278275755103383,0.5772949412069612,23.278275755103383
2000-11-30,0.6637916388093795,37.20725561716234,0.6637916388093795,37.20725561716234
2000-12-31,0.6347745436771379,31.927183396792913,0.6347745436771379,31.927183396792913
2001-01-31,0.5760608268974667,31.518925085736754,0.5760608268974667,31.518925085736754
2001-02-28,,,0.5054343673552213,31.963535009805774
2001-03-31,0.45247016334868184,34.14507770570407,0.45247016334868184,34.14507770570407
2001-04-30,0.3714418376476584,32.202471525300474,0.3714418376476584,32.202471525300474
2001-05-31,0.44457363719995413,38.99376296649074,0.44457363719995413,38.99376296649074
2001-06-30,0.5009017507907451,41.78259405041137,0.5009017507907451,41.78259405041137
2001-07-31,0.5434061102840689,38.37265042434536,0.5434061102840689,38.37265042434536
2001-08-31,0.4258167269490823,25.2121598896577,0.4258167269490823,25.2121598896577
2001-09-30,0.5107570094998952,37.271288712934755,0.5107570094998952,37.271288712934755
2001-10-31,,,0.5972231473001848,31.177665550814396
2001-11-30,0.6765710900076556,29.398977370439578,0.6765710900076556,29.398977370439578
2001-12-31,0.6194790648990696,19.751820504041998,0.6194790648990696,19.751820504041998
2002-01-31,0.601396227073314,34.01261612548426,0.601396227073314,34.01261612548426
2002-02-28,,,0.5114379729378791,32.73257650101026
2002-03-31,0.4534719195404949,33.76980475785566,0.4534719195404949,33.76980475785566
2002-04-30,0.41708945199813996,38.57402192514288,0.41708945199813996,38.57402192514288
2002-05-31,,,0.5236990569397659,40.05603300762209
2002-06-30,0.581964696101882,37.26338583502937,0.581964696101882,37.26338583502937
2002-07-31,0.5530707456274672,39.168367982920806,0.5530707456274672,39.168367982920806
2002-08-31,0.4934443463172643,31.412497267647073,0.4934443463172643,31.412497267647073
2002-09-30,,,0.5331388989247217,35.25121103501836
